X.1,2022,2021,~~~Variazioni 2022/2021~~~,X.2
,Mld metri cubi,Mld metri cubi,Mld metri cubi,%
Produzione,"3,4","3,3","0,1","1"
Importazioni,"67,9","72,7","-4,8","-7"
Algeria,"23,7","21,2","2,5","12"
Libia,"2,4","3,2","-0,9","-27"
Russia,"11,2","29,1","-17,9","-61"
Norvegia Olanda,"7,4","2,2","5,2","241"
Azerbaijan,"10,2","7,2",3,"41"
GNL Panigaglia,"2,2","1,1","1,1","102"
GNL Rovigo,"8,4","7,3","1,1","15"
GNL Livorno,"2,4","1,4",1,"70"
Esportazioni,"2,4","1,5","0,9","56"
Consumi,"69,9","76,1","-6,3","-8"
,,,,
